wvg_height = 0.2 , mode = yO, SUBSRATE = True, hx_min = 0.125, hy_min = 0.2
hx = 0.125, hy = 0.2, a = 0.314, w = 0.65, gamma = 0.0159, freqs = 196.3686 , 226.0596 
hx = 0.125, hy = 0.325, a = 0.335, w = 0.65, gamma = 0.0689, freqs = 190.1273 , 228.0796 
hx = 0.125, hy = 0.275, a = 0.336, w = 0.65, gamma = 0.06891, freqs = 188.9783 , 222.625 
hx = 0.125, hy = 0.3, a = 0.336, w = 0.65, gamma = 0.06996, freqs = 189.3407 , 225.1067 
hx = 0.125, hy = 0.325, a = 0.336, w = 0.65, gamma = 0.07032, freqs = 189.7515 , 227.492 
hx = 0.125, hy = 0.3, a = 0.337, w = 0.65, gamma = 0.07113, freqs = 189.0016 , 224.6753 
hx = 0.125, hy = 0.325, a = 0.337, w = 0.65, gamma = 0.0716, freqs = 189.4129 , 227.0363 
hx = 0.15, hy = 0.275, a = 0.338, w = 0.65, gamma = 0.07192, freqs = 189.8615 , 229.7998 
hx = 0.125, hy = 0.3, a = 0.338, w = 0.65, gamma = 0.07225, freqs = 188.6266 , 224.1116 
hx = 0.125, hy = 0.325, a = 0.338, w = 0.65, gamma = 0.07284, freqs = 189.0364 , 226.4247 
hx = 0.15, hy = 0.275, a = 0.339, w = 0.65, gamma = 0.07347, freqs = 189.4707 , 229.2356 
hx = 0.15, hy = 0.3, a = 0.339, w = 0.65, gamma = 0.07394, freqs = 189.8883 , 232.2249 
hx = 0.125, hy = 0.325, a = 0.339, w = 0.65, gamma = 0.07399, freqs = 188.6545 , 225.7777 
hx = 0.125, hy = 0.35, a = 0.339, w = 0.65, gamma = 0.07413, freqs = 189.1269 , 228.1143 
hx = 0.15, hy = 0.275, a = 0.34, w = 0.65, gamma = 0.0749, freqs = 189.0854 , 228.6777 
hx = 0.15, hy = 0.3, a = 0.34, w = 0.65, gamma = 0.07554, freqs = 189.5031 , 231.6546 
hx = 0.15, hy = 0.275, a = 0.341, w = 0.65, gamma = 0.07628, freqs = 188.6951 , 228.1122 
hx = 0.15, hy = 0.3, a = 0.341, w = 0.65, gamma = 0.07708, freqs = 189.1112 , 231.0647 
hx = 0.15, hy = 0.325, a = 0.341, w = 0.65, gamma = 0.07714, freqs = 189.5815 , 233.9596 
hx = 0.15, hy = 0.275, a = 0.342, w = 0.65, gamma = 0.07757, freqs = 188.2985 , 227.5155 
hx = 0.15, hy = 0.3, a = 0.342, w = 0.65, gamma = 0.07853, freqs = 188.7183 , 230.4705 
hx = 0.15, hy = 0.325, a = 0.342, w = 0.65, gamma = 0.07876, freqs = 189.1868 , 233.3473 
hx = 0.15, hy = 0.275, a = 0.343, w = 0.65, gamma = 0.07881, freqs = 187.936 , 227.0892 
hx = 0.15, hy = 0.3, a = 0.343, w = 0.65, gamma = 0.07989, freqs = 188.353 , 230.0 
hx = 0.15, hy = 0.325, a = 0.343, w = 0.65, gamma = 0.08028, freqs = 188.8225 , 232.885 
hx = 0.15, hy = 0.3, a = 0.344, w = 0.65, gamma = 0.08118, freqs = 187.9613 , 229.3914 
hx = 0.15, hy = 0.325, a = 0.344, w = 0.65, gamma = 0.08172, freqs = 188.4289 , 232.2482 
hx = 0.15, hy = 0.3, a = 0.345, w = 0.65, gamma = 0.08237, freqs = 187.5723 , 228.7836 
hx = 0.15, hy = 0.325, a = 0.345, w = 0.65, gamma = 0.08309, freqs = 188.0346 , 231.6178 
hx = 0.15, hy = 0.35, a = 0.345, w = 0.65, gamma = 0.0832, freqs = 188.5572 , 234.5566 
hx = 0.15, hy = 0.3, a = 0.346, w = 0.65, gamma = 0.0835, freqs = 187.1785 , 228.154 
hx = 0.15, hy = 0.325, a = 0.346, w = 0.65, gamma = 0.0844, freqs = 187.6389 , 230.9976 
hx = 0.15, hy = 0.35, a = 0.346, w = 0.65, gamma = 0.08465, freqs = 188.1586 , 233.8823 
hx = 0.15, hy = 0.325, a = 0.347, w = 0.65, gamma = 0.08562, freqs = 187.2441 , 230.3663 
hx = 0.15, hy = 0.35, a = 0.347, w = 0.65, gamma = 0.08603, freqs = 187.7634 , 233.2374 
hx = 0.15, hy = 0.325, a = 0.348, w = 0.65, gamma = 0.08679, freqs = 186.8459 , 229.7411 
hx = 0.15, hy = 0.35, a = 0.348, w = 0.65, gamma = 0.08735, freqs = 187.3641 , 232.5846 
hx = 0.15, hy = 0.325, a = 0.349, w = 0.65, gamma = 0.08791, freqs = 186.4832 , 229.2719 
hx = 0.15, hy = 0.35, a = 0.349, w = 0.65, gamma = 0.08858, freqs = 187.0008 , 232.0797 
hx = 0.15, hy = 0.325, a = 0.35, w = 0.65, gamma = 0.08891, freqs = 186.0957 , 228.6478 
hx = 0.15, hy = 0.35, a = 0.35, w = 0.65, gamma = 0.08971, freqs = 186.6117 , 231.4197 
hx = 0.15, hy = 0.325, a = 0.351, w = 0.65, gamma = 0.08983, freqs = 185.7094 , 228.0172 
hx = 0.15, hy = 0.35, a = 0.351, w = 0.65, gamma = 0.09077, freqs = 186.2243 , 230.7694 
hx = 0.15, hy = 0.375, a = 0.351, w = 0.65, gamma = 0.09082, freqs = 186.8106 , 233.3739 
hx = 0.15, hy = 0.35, a = 0.352, w = 0.65, gamma = 0.09176, freqs = 185.8404 , 230.1299 
hx = 0.15, hy = 0.375, a = 0.352, w = 0.65, gamma = 0.09195, freqs = 186.4239 , 232.6967 
hx = 0.15, hy = 0.375, a = 0.353, w = 0.65, gamma = 0.09197, freqs = 186.3762 , 232.5084 
hx = 0.175, hy = 0.325, a = 0.354, w = 0.65, gamma = 0.09217, freqs = 186.9639 , 235.469 
hx = 0.15, hy = 0.35, a = 0.354, w = 0.65, gamma = 0.09264, freqs = 185.4309 , 229.3575 
hx = 0.15, hy = 0.375, a = 0.354, w = 0.65, gamma = 0.09293, freqs = 186.0235 , 231.8975 
hx = 0.175, hy = 0.325, a = 0.355, w = 0.65, gamma = 0.09352, freqs = 186.6054 , 235.0638 
hx = 0.175, hy = 0.35, a = 0.355, w = 0.65, gamma = 0.0938, freqs = 187.1826 , 238.3784 
hx = 0.15, hy = 0.375, a = 0.355, w = 0.65, gamma = 0.09386, freqs = 185.685 , 231.3625 
hx = 0.175, hy = 0.325, a = 0.356, w = 0.65, gamma = 0.09475, freqs = 186.2255 , 234.4916 
hx = 0.175, hy = 0.35, a = 0.356, w = 0.65, gamma = 0.09517, freqs = 186.8004 , 237.7635 
hx = 0.175, hy = 0.325, a = 0.357, w = 0.65, gamma = 0.09593, freqs = 185.8449 , 233.9175 
hx = 0.175, hy = 0.35, a = 0.357, w = 0.65, gamma = 0.09648, freqs = 186.4177 , 237.1503 
hx = 0.175, hy = 0.325, a = 0.358, w = 0.65, gamma = 0.09705, freqs = 185.4633 , 233.3374 
hx = 0.175, hy = 0.35, a = 0.358, w = 0.65, gamma = 0.09774, freqs = 186.0343 , 236.5349 
hx = 0.175, hy = 0.325, a = 0.359, w = 0.65, gamma = 0.09812, freqs = 185.078 , 232.7417 
hx = 0.175, hy = 0.35, a = 0.359, w = 0.65, gamma = 0.09893, freqs = 185.6497 , 235.9115 
hx = 0.175, hy = 0.325, a = 0.36, w = 0.65, gamma = 0.09912, freqs = 184.6963 , 232.1547 
hx = 0.175, hy = 0.35, a = 0.36, w = 0.65, gamma = 0.10006, freqs = 185.2665 , 235.2923 
hx = 0.175, hy = 0.375, a = 0.36, w = 0.65, gamma = 0.10016, freqs = 185.9194 , 238.4468 
hx = 0.175, hy = 0.35, a = 0.361, w = 0.65, gamma = 0.10113, freqs = 184.8822 , 234.6653 
hx = 0.175, hy = 0.375, a = 0.361, w = 0.65, gamma = 0.10139, freqs = 185.5342 , 237.8088 
hx = 0.175, hy = 0.35, a = 0.362, w = 0.65, gamma = 0.10223, freqs = 184.5139 , 234.1745 
hx = 0.175, hy = 0.375, a = 0.362, w = 0.65, gamma = 0.10262, freqs = 185.164 , 237.2978 
hx = 0.175, hy = 0.35, a = 0.363, w = 0.65, gamma = 0.10318, freqs = 184.1312 , 233.5338 
hx = 0.175, hy = 0.375, a = 0.363, w = 0.65, gamma = 0.10372, freqs = 184.7791 , 236.6394 
hx = 0.175, hy = 0.35, a = 0.364, w = 0.65, gamma = 0.10403, freqs = 183.754 , 232.8815 
hx = 0.175, hy = 0.375, a = 0.364, w = 0.65, gamma = 0.10472, freqs = 184.4046 , 235.9916 
hx = 0.175, hy = 0.35, a = 0.365, w = 0.65, gamma = 0.1048, freqs = 183.395 , 232.2636 
hx = 0.175, hy = 0.375, a = 0.365, w = 0.65, gamma = 0.10561, freqs = 184.0442 , 235.3455 
hx = 0.175, hy = 0.375, a = 0.366, w = 0.65, gamma = 0.10645, freqs = 183.6691 , 234.6364 
hx = 0.175, hy = 0.4, a = 0.366, w = 0.65, gamma = 0.10649, freqs = 184.3815 , 237.5497 
hx = 0.175, hy = 0.375, a = 0.367, w = 0.65, gamma = 0.10726, freqs = 183.3034 , 233.9897 
hx = 0.175, hy = 0.4, a = 0.367, w = 0.65, gamma = 0.10746, freqs = 184.0139 , 236.898 
hx = 0.175, hy = 0.375, a = 0.368, w = 0.65, gamma = 0.10804, freqs = 183.021 , 233.643 
hx = 0.175, hy = 0.4, a = 0.368, w = 0.65, gamma = 0.10826, freqs = 183.7409 , 236.5251 
hx = 0.175, hy = 0.375, a = 0.369, w = 0.65, gamma = 0.10875, freqs = 182.6711 , 233.0333 
hx = 0.175, hy = 0.4, a = 0.369, w = 0.65, gamma = 0.10911, freqs = 183.3875 , 235.8975 
hx = 0.175, hy = 0.375, a = 0.37, w = 0.65, gamma = 0.10944, freqs = 182.3085 , 232.4019 
hx = 0.175, hy = 0.4, a = 0.37, w = 0.65, gamma = 0.10988, freqs = 183.0225 , 235.2048 
hx = 0.175, hy = 0.375, a = 0.371, w = 0.65, gamma = 0.11002, freqs = 181.9599 , 231.7709 
hx = 0.175, hy = 0.4, a = 0.371, w = 0.65, gamma = 0.11058, freqs = 182.6676 , 234.5252 
hx = 0.2, hy = 0.375, a = 0.372, w = 0.65, gamma = 0.11109, freqs = 184.0509 , 240.5416 
hx = 0.175, hy = 0.4, a = 0.372, w = 0.65, gamma = 0.11125, freqs = 182.307 , 233.8434 
hx = 0.2, hy = 0.35, a = 0.373, w = 0.65, gamma = 0.11132, freqs = 183.0235 , 236.4611 
hx = 0.2, hy = 0.375, a = 0.373, w = 0.65, gamma = 0.1121, freqs = 183.7024 , 239.964 
hx = 0.2, hy = 0.35, a = 0.374, w = 0.65, gamma = 0.11216, freqs = 182.6774 , 235.904 
hx = 0.2, hy = 0.375, a = 0.374, w = 0.65, gamma = 0.11306, freqs = 183.3533 , 239.3697 
hx = 0.2, hy = 0.375, a = 0.375, w = 0.65, gamma = 0.11325, freqs = 183.2597 , 239.1495 
hx = 0.2, hy = 0.375, a = 0.376, w = 0.65, gamma = 0.11348, freqs = 183.1853 , 239.0619 
hx = 0.2, hy = 0.375, a = 0.377, w = 0.65, gamma = 0.11433, freqs = 182.8391 , 238.4335 
hx = 0.2, hy = 0.375, a = 0.378, w = 0.65, gamma = 0.11515, freqs = 182.5029 , 237.8584 
hx = 0.2, hy = 0.375, a = 0.379, w = 0.65, gamma = 0.11592, freqs = 182.1554 , 237.2321 
hx = 0.2, hy = 0.4, a = 0.379, w = 0.65, gamma = 0.11603, freqs = 182.9328 , 240.3942 
hx = 0.2, hy = 0.375, a = 0.38, w = 0.65, gamma = 0.11665, freqs = 181.8164 , 236.6336 
hx = 0.2, hy = 0.4, a = 0.38, w = 0.65, gamma = 0.11688, freqs = 182.5713 , 239.694 
hx = 0.2, hy = 0.375, a = 0.381, w = 0.65, gamma = 0.11737, freqs = 181.4643 , 236.0111 
hx = 0.2, hy = 0.4, a = 0.381, w = 0.65, gamma = 0.1177, freqs = 182.2337 , 239.0986 
hx = 0.2, hy = 0.375, a = 0.382, w = 0.65, gamma = 0.11804, freqs = 181.1264 , 235.4364 
hx = 0.2, hy = 0.4, a = 0.382, w = 0.65, gamma = 0.11849, freqs = 181.8955 , 238.5059 
hx = 0.2, hy = 0.375, a = 0.383, w = 0.65, gamma = 0.11871, freqs = 180.8455 , 235.064 
hx = 0.2, hy = 0.4, a = 0.383, w = 0.65, gamma = 0.11923, freqs = 181.6204 , 238.1319 
hx = 0.2, hy = 0.375, a = 0.384, w = 0.65, gamma = 0.11928, freqs = 180.5055 , 234.445 
hx = 0.2, hy = 0.4, a = 0.384, w = 0.65, gamma = 0.11992, freqs = 181.2639 , 237.4438 
hx = 0.2, hy = 0.4, a = 0.385, w = 0.65, gamma = 0.12055, freqs = 180.9226 , 236.8009 
hx = 0.2, hy = 0.4, a = 0.386, w = 0.65, gamma = 0.12118, freqs = 180.5786 , 236.1745 
hx = 0.2, hy = 0.4, a = 0.387, w = 0.65, gamma = 0.12179, freqs = 180.2127 , 235.4972 
hx = 0.2, hy = 0.425, a = 0.387, w = 0.65, gamma = 0.12183, freqs = 181.0624 , 238.3572 
hx = 0.2, hy = 0.4, a = 0.388, w = 0.65, gamma = 0.12234, freqs = 179.8741 , 234.8858 
hx = 0.2, hy = 0.425, a = 0.388, w = 0.65, gamma = 0.12248, freqs = 180.7165 , 237.6957 
hx = 0.2, hy = 0.4, a = 0.389, w = 0.65, gamma = 0.12285, freqs = 179.5313 , 234.2629 
hx = 0.2, hy = 0.425, a = 0.389, w = 0.65, gamma = 0.12309, freqs = 180.3674 , 237.0276 
hx = 0.225, hy = 0.375, a = 0.39, w = 0.65, gamma = 0.12311, freqs = 181.0808 , 239.5253 
hx = 0.2, hy = 0.4, a = 0.39, w = 0.65, gamma = 0.12336, freqs = 179.2332 , 233.795 
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, gamma = 0.12353, freqs = 181.905 , 243.1832 
hx = 0.2, hy = 0.425, a = 0.39, w = 0.65, gamma = 0.1237, freqs = 180.072 , 236.5575 
hx = 0.225, hy = 0.375, a = 0.391, w = 0.65, gamma = 0.1239, freqs = 180.7246 , 238.9161 
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, gamma = 0.12449, freqs = 181.5574 , 242.6292 
hx = 0.225, hy = 0.375, a = 0.392, w = 0.65, gamma = 0.12467, freqs = 180.3545 , 238.281 
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, gamma = 0.12537, freqs = 181.1794 , 241.9187 
hx = 0.225, hy = 0.375, a = 0.393, w = 0.65, gamma = 0.12539, freqs = 179.9847 , 237.6367 
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, gamma = 0.12622, freqs = 180.8037 , 241.234 
hx = 0.225, hy = 0.4, a = 0.394, w = 0.65, gamma = 0.12707, freqs = 180.4052 , 240.4987 
hx = 0.225, hy = 0.4, a = 0.395, w = 0.65, gamma = 0.1278, freqs = 180.0839 , 239.9708 
hx = 0.225, hy = 0.4, a = 0.396, w = 0.65, gamma = 0.12849, freqs = 179.7559 , 239.421 
hx = 0.225, hy = 0.4, a = 0.397, w = 0.65, gamma = 0.12915, freqs = 179.427 , 238.8609 
hx = 0.225, hy = 0.425, a = 0.397, w = 0.65, gamma = 0.12918, freqs = 180.2952 , 241.9447 
hx = 0.225, hy = 0.4, a = 0.398, w = 0.65, gamma = 0.12975, freqs = 179.1921 , 238.5855 
hx = 0.225, hy = 0.425, a = 0.398, w = 0.65, gamma = 0.12977, freqs = 180.0808 , 241.6657 
hx = 0.225, hy = 0.4, a = 0.399, w = 0.65, gamma = 0.13031, freqs = 178.8618 , 237.9835 
hx = 0.225, hy = 0.425, a = 0.399, w = 0.65, gamma = 0.13042, freqs = 179.7533 , 241.0425 
hx = 0.225, hy = 0.4, a = 0.402, w = 0.65, gamma = 0.13075, freqs = 178.3016 , 236.6331 
hx = 0.225, hy = 0.425, a = 0.402, w = 0.65, gamma = 0.131, freqs = 179.1865 , 239.5826 
hx = 0.225, hy = 0.4, a = 0.403, w = 0.65, gamma = 0.1312, freqs = 177.978 , 236.0436 
hx = 0.225, hy = 0.425, a = 0.403, w = 0.65, gamma = 0.13155, freqs = 178.8656 , 238.9808 
hx = 0.225, hy = 0.4, a = 0.404, w = 0.65, gamma = 0.13164, freqs = 177.6498 , 235.4515 
hx = 0.225, hy = 0.425, a = 0.404, w = 0.65, gamma = 0.13209, freqs = 178.5297 , 238.3478 
hx = 0.225, hy = 0.425, a = 0.405, w = 0.65, gamma = 0.13257, freqs = 178.2014 , 237.7254 
hx = 0.225, hy = 0.425, a = 0.406, w = 0.65, gamma = 0.13303, freqs = 177.8747 , 237.1093 
hx = 0.225, hy = 0.425, a = 0.407, w = 0.65, gamma = 0.13352, freqs = 177.6041 , 236.7029 
hx = 0.225, hy = 0.425, a = 0.408, w = 0.65, gamma = 0.13389, freqs = 177.2809 , 236.0775 
hx = 0.225, hy = 0.425, a = 0.409, w = 0.65, gamma = 0.13423, freqs = 176.9518 , 235.438 
hx = 0.225, hy = 0.425, a = 0.41, w = 0.65, gamma = 0.13452, freqs = 176.6195 , 234.7814 
hx = 0.25, hy = 0.4, a = 0.411, w = 0.65, gamma = 0.13462, freqs = 178.3017 , 239.6409 
hx = 0.225, hy = 0.425, a = 0.411, w = 0.65, gamma = 0.13476, freqs = 176.2916 , 234.1261 
hx = 0.225, hy = 0.45, a = 0.411, w = 0.65, gamma = 0.13479, freqs = 177.2932 , 236.7689 
hx = 0.25, hy = 0.4, a = 0.412, w = 0.65, gamma = 0.13523, freqs = 177.9451 , 239.0149 
hx = 0.25, hy = 0.425, a = 0.412, w = 0.65, gamma = 0.13542, freqs = 178.877 , 242.2328 
hx = 0.25, hy = 0.4, a = 0.413, w = 0.65, gamma = 0.13581, freqs = 177.5871 , 238.3821 
hx = 0.25, hy = 0.425, a = 0.413, w = 0.65, gamma = 0.13613, freqs = 178.5222 , 241.6092 
hx = 0.25, hy = 0.4, a = 0.414, w = 0.65, gamma = 0.13639, freqs = 177.2178 , 237.7438 
hx = 0.25, hy = 0.425, a = 0.414, w = 0.65, gamma = 0.13685, freqs = 178.1475 , 240.9558 
hx = 0.25, hy = 0.4, a = 0.415, w = 0.65, gamma = 0.13709, freqs = 176.9068 , 237.3888 
hx = 0.25, hy = 0.425, a = 0.415, w = 0.65, gamma = 0.13761, freqs = 177.8422 , 240.5841 
hx = 0.25, hy = 0.425, a = 0.416, w = 0.65, gamma = 0.13818, freqs = 177.4848 , 239.9166 
hx = 0.25, hy = 0.425, a = 0.417, w = 0.65, gamma = 0.13873, freqs = 177.1184 , 239.2354 
hx = 0.25, hy = 0.425, a = 0.418, w = 0.65, gamma = 0.13924, freqs = 176.7718 , 238.6087 
hx = 0.25, hy = 0.425, a = 0.419, w = 0.65, gamma = 0.13969, freqs = 176.4189 , 237.9471 
hx = 0.25, hy = 0.425, a = 0.42, w = 0.65, gamma = 0.1401, freqs = 176.0779 , 237.3137 
hx = 0.25, hy = 0.425, a = 0.421, w = 0.65, gamma = 0.14045, freqs = 175.7745 , 236.7617 
hx = 0.25, hy = 0.425, a = 0.422, w = 0.65, gamma = 0.14076, freqs = 175.4617 , 236.1707 
hx = 0.25, hy = 0.425, a = 0.423, w = 0.65, gamma = 0.14105, freqs = 175.1504 , 235.6006 
hx = 0.25, hy = 0.45, a = 0.423, w = 0.65, gamma = 0.14112, freqs = 176.1816 , 238.3419 
hx = 0.25, hy = 0.425, a = 0.424, w = 0.65, gamma = 0.14142, freqs = 174.9257 , 235.3014 
hx = 0.25, hy = 0.45, a = 0.424, w = 0.65, gamma = 0.14146, freqs = 175.9519 , 237.9539 
hx = 0.25, hy = 0.425, a = 0.425, w = 0.65, gamma = 0.14162, freqs = 174.6192 , 234.7107 
hx = 0.25, hy = 0.45, a = 0.425, w = 0.65, gamma = 0.14173, freqs = 175.6438 , 237.3281 
hx = 0.25, hy = 0.425, a = 0.426, w = 0.65, gamma = 0.14183, freqs = 174.3204 , 234.1568 
hx = 0.25, hy = 0.45, a = 0.426, w = 0.65, gamma = 0.14201, freqs = 175.3396 , 236.7351 
hx = 0.25, hy = 0.45, a = 0.427, w = 0.65, gamma = 0.14226, freqs = 175.0259 , 236.1124 
hx = 0.25, hy = 0.45, a = 0.428, w = 0.65, gamma = 0.14244, freqs = 174.7225 , 235.4963 
hx = 0.275, hy = 0.425, a = 0.432, w = 0.65, gamma = 0.1426, freqs = 175.9151 , 238.6897 
hx = 0.275, hy = 0.425, a = 0.433, w = 0.65, gamma = 0.14305, freqs = 175.5765 , 238.0943 
hx = 0.275, hy = 0.425, a = 0.434, w = 0.65, gamma = 0.14362, freqs = 175.2651 , 237.6751 
hx = 0.275, hy = 0.425, a = 0.435, w = 0.65, gamma = 0.14399, freqs = 174.9237 , 237.0517 
hx = 0.275, hy = 0.425, a = 0.436, w = 0.65, gamma = 0.14433, freqs = 174.5886 , 236.4479 
hx = 0.275, hy = 0.425, a = 0.437, w = 0.65, gamma = 0.14463, freqs = 174.2509 , 235.8377 
hx = 0.275, hy = 0.425, a = 0.438, w = 0.65, gamma = 0.14491, freqs = 173.9173 , 235.2365 
hx = 0.275, hy = 0.425, a = 0.439, w = 0.65, gamma = 0.14514, freqs = 173.5844 , 234.6343 
hx = 0.275, hy = 0.45, a = 0.439, w = 0.65, gamma = 0.14517, freqs = 174.6668 , 237.2217 
hx = 0.275, hy = 0.425, a = 0.44, w = 0.65, gamma = 0.14535, freqs = 173.2522 , 234.0338 
hx = 0.275, hy = 0.45, a = 0.44, w = 0.65, gamma = 0.14549, freqs = 174.3301 , 236.6031 
hx = 0.275, hy = 0.425, a = 0.441, w = 0.65, gamma = 0.14553, freqs = 172.9212 , 233.4373 
hx = 0.275, hy = 0.45, a = 0.441, w = 0.65, gamma = 0.14577, freqs = 173.9974 , 235.9965 
hx = 0.275, hy = 0.45, a = 0.442, w = 0.65, gamma = 0.14603, freqs = 173.6635 , 235.387 
hx = 0.275, hy = 0.45, a = 0.443, w = 0.65, gamma = 0.14626, freqs = 173.331 , 234.7831 
hx = 0.275, hy = 0.45, a = 0.444, w = 0.65, gamma = 0.14663, freqs = 173.0198 , 234.3365 
hx = 0.275, hy = 0.45, a = 0.446, w = 0.65, gamma = 0.14671, freqs = 172.4055 , 233.0941 
hx = 0.275, hy = 0.45, a = 0.447, w = 0.65, gamma = 0.14678, freqs = 172.0961 , 232.5116 
