wvg_height = 0.15 , mode = yO, SUBSRATE = True, hx_min = 0.1, hy_min = 0.15
hx = 0.1, hy = 0.15, a = 0.348, w = 0.65, gamma = 0.00818, freqs = 196.586 , 213.5913 
hx = 0.125, hy = 0.175, a = 0.357, w = 0.65, gamma = 0.03327, freqs = 194.5011 , 217.6263 
hx = 0.1, hy = 0.2, a = 0.357, w = 0.65, gamma = 0.03349, freqs = 193.9785 , 213.5322 
hx = 0.1, hy = 0.225, a = 0.357, w = 0.65, gamma = 0.03387, freqs = 194.1556 , 215.2582 
hx = 0.125, hy = 0.15, a = 0.358, w = 0.65, gamma = 0.03459, freqs = 194.0178 , 215.0541 
hx = 0.125, hy = 0.175, a = 0.358, w = 0.65, gamma = 0.03527, freqs = 194.1809 , 217.2157 
hx = 0.125, hy = 0.2, a = 0.358, w = 0.65, gamma = 0.03542, freqs = 194.3692 , 219.2685 
hx = 0.1, hy = 0.225, a = 0.358, w = 0.65, gamma = 0.03553, freqs = 193.8397 , 214.8464 
hx = 0.1, hy = 0.25, a = 0.358, w = 0.65, gamma = 0.03562, freqs = 194.0546 , 216.5684 
hx = 0.125, hy = 0.15, a = 0.359, w = 0.65, gamma = 0.03626, freqs = 193.686 , 214.6181 
hx = 0.125, hy = 0.175, a = 0.359, w = 0.65, gamma = 0.03712, freqs = 193.8453 , 216.7262 
hx = 0.125, hy = 0.2, a = 0.359, w = 0.65, gamma = 0.03751, freqs = 194.036 , 218.8135 
hx = 0.125, hy = 0.15, a = 0.36, w = 0.65, gamma = 0.03776, freqs = 193.3523 , 214.1558 
hx = 0.125, hy = 0.175, a = 0.36, w = 0.65, gamma = 0.03883, freqs = 193.5117 , 216.2788 
hx = 0.125, hy = 0.2, a = 0.36, w = 0.65, gamma = 0.03938, freqs = 193.7001 , 218.3091 
hx = 0.125, hy = 0.225, a = 0.36, w = 0.65, gamma = 0.0396, freqs = 193.9226 , 220.5512 
hx = 0.125, hy = 0.175, a = 0.361, w = 0.65, gamma = 0.04038, freqs = 193.1735 , 215.7975 
hx = 0.125, hy = 0.2, a = 0.361, w = 0.65, gamma = 0.04113, freqs = 193.3661 , 217.8653 
hx = 0.125, hy = 0.225, a = 0.361, w = 0.65, gamma = 0.04156, freqs = 193.5847 , 220.0685 
hx = 0.125, hy = 0.175, a = 0.362, w = 0.65, gamma = 0.04163, freqs = 192.8953 , 215.4823 
hx = 0.125, hy = 0.2, a = 0.362, w = 0.65, gamma = 0.04253, freqs = 193.0878 , 217.5586 
hx = 0.125, hy = 0.225, a = 0.362, w = 0.65, gamma = 0.04312, freqs = 193.3034 , 219.7376 
hx = 0.125, hy = 0.25, a = 0.362, w = 0.65, gamma = 0.04313, freqs = 193.5576 , 221.8671 
hx = 0.125, hy = 0.2, a = 0.363, w = 0.65, gamma = 0.04402, freqs = 192.7537 , 217.1045 
hx = 0.125, hy = 0.225, a = 0.363, w = 0.65, gamma = 0.04478, freqs = 192.9679 , 219.2608 
hx = 0.125, hy = 0.25, a = 0.363, w = 0.65, gamma = 0.04499, freqs = 193.2215 , 221.3783 
hx = 0.125, hy = 0.2, a = 0.364, w = 0.65, gamma = 0.04543, freqs = 192.4017 , 216.5851 
hx = 0.125, hy = 0.225, a = 0.364, w = 0.65, gamma = 0.04639, freqs = 192.6192 , 218.7789 
hx = 0.125, hy = 0.25, a = 0.364, w = 0.65, gamma = 0.04676, freqs = 192.8655 , 220.8138 
hx = 0.125, hy = 0.225, a = 0.365, w = 0.65, gamma = 0.0478, freqs = 192.2769 , 218.2629 
hx = 0.125, hy = 0.25, a = 0.365, w = 0.65, gamma = 0.04835, freqs = 192.523 , 220.2991 
hx = 0.125, hy = 0.225, a = 0.366, w = 0.65, gamma = 0.04908, freqs = 191.9398 , 217.7488 
hx = 0.125, hy = 0.25, a = 0.366, w = 0.65, gamma = 0.0498, freqs = 192.1864 , 219.792 
hx = 0.125, hy = 0.275, a = 0.366, w = 0.65, gamma = 0.04987, freqs = 192.482 , 221.7289 
hx = 0.125, hy = 0.225, a = 0.367, w = 0.65, gamma = 0.05028, freqs = 191.5979 , 217.2497 
hx = 0.15, hy = 0.225, a = 0.367, w = 0.65, gamma = 0.05039, freqs = 192.6731 , 223.7255 
hx = 0.125, hy = 0.25, a = 0.367, w = 0.65, gamma = 0.05116, freqs = 191.8474 , 219.3048 
hx = 0.125, hy = 0.275, a = 0.367, w = 0.65, gamma = 0.0514, freqs = 192.1402 , 221.2202 
hx = 0.15, hy = 0.225, a = 0.368, w = 0.65, gamma = 0.05193, freqs = 192.3801 , 223.4037 
hx = 0.125, hy = 0.25, a = 0.368, w = 0.65, gamma = 0.05227, freqs = 191.5654 , 218.9447 
hx = 0.125, hy = 0.275, a = 0.368, w = 0.65, gamma = 0.05266, freqs = 191.8611 , 220.8972 
hx = 0.15, hy = 0.2, a = 0.369, w = 0.65, gamma = 0.05266, freqs = 191.7543 , 220.3029 
hx = 0.15, hy = 0.225, a = 0.369, w = 0.65, gamma = 0.05354, freqs = 192.0295 , 222.8636 
hx = 0.15, hy = 0.25, a = 0.369, w = 0.65, gamma = 0.05383, freqs = 192.3242 , 225.2734 
hx = 0.125, hy = 0.275, a = 0.369, w = 0.65, gamma = 0.05397, freqs = 191.5236 , 220.3825 
hx = 0.125, hy = 0.3, a = 0.369, w = 0.65, gamma = 0.05408, freqs = 191.8582 , 222.3817 
hx = 0.15, hy = 0.225, a = 0.37, w = 0.65, gamma = 0.05503, freqs = 191.6755 , 222.3026 
hx = 0.15, hy = 0.25, a = 0.37, w = 0.65, gamma = 0.05549, freqs = 191.9797 , 224.7544 
hx = 0.15, hy = 0.225, a = 0.371, w = 0.65, gamma = 0.05643, freqs = 191.3316 , 221.8118 
hx = 0.15, hy = 0.25, a = 0.371, w = 0.65, gamma = 0.05706, freqs = 191.6259 , 224.207 
hx = 0.15, hy = 0.275, a = 0.371, w = 0.65, gamma = 0.05711, freqs = 191.965 , 226.5822 
hx = 0.15, hy = 0.225, a = 0.372, w = 0.65, gamma = 0.05776, freqs = 190.9805 , 221.3098 
hx = 0.15, hy = 0.25, a = 0.372, w = 0.65, gamma = 0.05855, freqs = 191.2745 , 223.6916 
hx = 0.15, hy = 0.275, a = 0.372, w = 0.65, gamma = 0.0588, freqs = 191.6022 , 226.0215 
hx = 0.15, hy = 0.225, a = 0.373, w = 0.65, gamma = 0.05887, freqs = 190.6677 , 220.8673 
hx = 0.15, hy = 0.25, a = 0.373, w = 0.65, gamma = 0.05978, freqs = 190.965 , 223.2319 
hx = 0.15, hy = 0.275, a = 0.373, w = 0.65, gamma = 0.06018, freqs = 191.2925 , 225.5632 
hx = 0.15, hy = 0.25, a = 0.374, w = 0.65, gamma = 0.06096, freqs = 190.6442 , 222.7451 
hx = 0.15, hy = 0.275, a = 0.374, w = 0.65, gamma = 0.06151, freqs = 190.963 , 225.0252 
hx = 0.15, hy = 0.3, a = 0.374, w = 0.65, gamma = 0.06155, freqs = 191.3381 , 227.4225 
hx = 0.15, hy = 0.275, a = 0.375, w = 0.65, gamma = 0.06184, freqs = 190.8439 , 224.6894 
hx = 0.15, hy = 0.3, a = 0.375, w = 0.65, gamma = 0.06194, freqs = 191.2178 , 227.0657 
hx = 0.15, hy = 0.25, a = 0.377, w = 0.65, gamma = 0.06224, freqs = 190.2235 , 221.9536 
hx = 0.15, hy = 0.275, a = 0.377, w = 0.65, gamma = 0.06296, freqs = 190.5555 , 224.2685 
hx = 0.15, hy = 0.3, a = 0.377, w = 0.65, gamma = 0.06313, freqs = 190.9385 , 226.6341 
hx = 0.15, hy = 0.25, a = 0.378, w = 0.65, gamma = 0.06325, freqs = 189.9043 , 221.4685 
hx = 0.15, hy = 0.275, a = 0.378, w = 0.65, gamma = 0.06413, freqs = 190.2368 , 223.8036 
hx = 0.15, hy = 0.3, a = 0.378, w = 0.65, gamma = 0.06442, freqs = 190.6171 , 226.1157 
hx = 0.15, hy = 0.275, a = 0.379, w = 0.65, gamma = 0.06521, freqs = 189.9239 , 223.3413 
hx = 0.15, hy = 0.3, a = 0.379, w = 0.65, gamma = 0.06562, freqs = 190.3002 , 225.6131 
hx = 0.15, hy = 0.275, a = 0.38, w = 0.65, gamma = 0.06625, freqs = 189.6045 , 222.8654 
hx = 0.15, hy = 0.3, a = 0.38, w = 0.65, gamma = 0.06678, freqs = 189.9799 , 225.1099 
hx = 0.15, hy = 0.275, a = 0.381, w = 0.65, gamma = 0.06718, freqs = 189.2896 , 222.3733 
hx = 0.15, hy = 0.3, a = 0.381, w = 0.65, gamma = 0.06784, freqs = 189.669 , 224.6291 
hx = 0.175, hy = 0.25, a = 0.382, w = 0.65, gamma = 0.06785, freqs = 189.9731 , 226.1509 
hx = 0.15, hy = 0.275, a = 0.382, w = 0.65, gamma = 0.06809, freqs = 188.9686 , 221.8842 
hx = 0.175, hy = 0.275, a = 0.382, w = 0.65, gamma = 0.06845, freqs = 190.3697 , 229.029 
hx = 0.15, hy = 0.3, a = 0.382, w = 0.65, gamma = 0.06886, freqs = 189.3468 , 224.1116 
hx = 0.15, hy = 0.325, a = 0.382, w = 0.65, gamma = 0.06889, freqs = 189.7799 , 226.1947 
hx = 0.175, hy = 0.25, a = 0.383, w = 0.65, gamma = 0.069, freqs = 189.6832 , 225.8151 
hx = 0.175, hy = 0.275, a = 0.383, w = 0.65, gamma = 0.06974, freqs = 190.0768 , 228.6856 
hx = 0.15, hy = 0.3, a = 0.383, w = 0.65, gamma = 0.06977, freqs = 189.0721 , 223.7549 
hx = 0.15, hy = 0.325, a = 0.383, w = 0.65, gamma = 0.06991, freqs = 189.502 , 225.8141 
hx = 0.175, hy = 0.25, a = 0.384, w = 0.65, gamma = 0.07015, freqs = 189.3527 , 225.3377 
hx = 0.175, hy = 0.275, a = 0.384, w = 0.65, gamma = 0.07101, freqs = 189.741 , 228.15 
hx = 0.175, hy = 0.3, a = 0.384, w = 0.65, gamma = 0.07116, freqs = 190.1622 , 230.7922 
hx = 0.175, hy = 0.25, a = 0.385, w = 0.65, gamma = 0.07125, freqs = 189.0086 , 224.8155 
hx = 0.175, hy = 0.275, a = 0.385, w = 0.65, gamma = 0.07227, freqs = 189.3977 , 227.6204 
hx = 0.175, hy = 0.3, a = 0.385, w = 0.65, gamma = 0.07255, freqs = 189.8134 , 230.2042 
hx = 0.175, hy = 0.275, a = 0.386, w = 0.65, gamma = 0.07342, freqs = 189.0651 , 227.1154 
hx = 0.175, hy = 0.3, a = 0.386, w = 0.65, gamma = 0.07383, freqs = 189.4688 , 229.6027 
hx = 0.175, hy = 0.275, a = 0.387, w = 0.65, gamma = 0.0745, freqs = 188.7262 , 226.5664 
hx = 0.175, hy = 0.3, a = 0.387, w = 0.65, gamma = 0.07503, freqs = 189.1348 , 229.0654 
hx = 0.175, hy = 0.275, a = 0.388, w = 0.65, gamma = 0.07554, freqs = 188.3873 , 226.0366 
hx = 0.175, hy = 0.3, a = 0.388, w = 0.65, gamma = 0.07617, freqs = 188.802 , 228.5268 
hx = 0.175, hy = 0.325, a = 0.388, w = 0.65, gamma = 0.07622, freqs = 189.2795 , 231.0994 
hx = 0.175, hy = 0.275, a = 0.389, w = 0.65, gamma = 0.07649, freqs = 188.0559 , 225.5184 
hx = 0.175, hy = 0.3, a = 0.389, w = 0.65, gamma = 0.07727, freqs = 188.4634 , 227.9817 
hx = 0.175, hy = 0.325, a = 0.389, w = 0.65, gamma = 0.07747, freqs = 188.9373 , 230.5262 
hx = 0.175, hy = 0.3, a = 0.39, w = 0.65, gamma = 0.0783, freqs = 188.1532 , 227.5492 
hx = 0.175, hy = 0.325, a = 0.39, w = 0.65, gamma = 0.0786, freqs = 188.6286 , 230.0856 
hx = 0.175, hy = 0.3, a = 0.391, w = 0.65, gamma = 0.07921, freqs = 187.8414 , 227.0463 
hx = 0.175, hy = 0.325, a = 0.391, w = 0.65, gamma = 0.07966, freqs = 188.3174 , 229.594 
hx = 0.175, hy = 0.3, a = 0.392, w = 0.65, gamma = 0.08009, freqs = 187.5147 , 226.5067 
hx = 0.175, hy = 0.325, a = 0.392, w = 0.65, gamma = 0.08068, freqs = 187.9853 , 229.0283 
hx = 0.175, hy = 0.3, a = 0.393, w = 0.65, gamma = 0.0809, freqs = 187.1864 , 225.9469 
hx = 0.175, hy = 0.325, a = 0.393, w = 0.65, gamma = 0.08164, freqs = 187.6562 , 228.4678 
hx = 0.175, hy = 0.3, a = 0.394, w = 0.65, gamma = 0.0817, freqs = 186.8546 , 225.4016 
hx = 0.175, hy = 0.325, a = 0.394, w = 0.65, gamma = 0.08256, freqs = 187.3224 , 227.9044 
hx = 0.175, hy = 0.35, a = 0.394, w = 0.65, gamma = 0.08268, freqs = 187.8313 , 230.2351 
hx = 0.175, hy = 0.325, a = 0.395, w = 0.65, gamma = 0.08333, freqs = 187.0316 , 227.4299 
hx = 0.175, hy = 0.35, a = 0.395, w = 0.65, gamma = 0.08355, freqs = 187.5413 , 229.7374 
hx = 0.175, hy = 0.325, a = 0.396, w = 0.65, gamma = 0.08405, freqs = 186.7342 , 226.9183 
hx = 0.175, hy = 0.35, a = 0.396, w = 0.65, gamma = 0.08438, freqs = 187.2498 , 229.2407 
hx = 0.175, hy = 0.325, a = 0.397, w = 0.65, gamma = 0.08474, freqs = 186.4375 , 226.4182 
hx = 0.175, hy = 0.35, a = 0.397, w = 0.65, gamma = 0.08517, freqs = 186.9544 , 228.7333 
hx = 0.175, hy = 0.325, a = 0.398, w = 0.65, gamma = 0.08533, freqs = 186.2082 , 226.1012 
hx = 0.175, hy = 0.35, a = 0.398, w = 0.65, gamma = 0.08582, freqs = 186.7279 , 228.404 
hx = 0.2, hy = 0.3, a = 0.399, w = 0.65, gamma = 0.08588, freqs = 187.1313 , 230.1133 
hx = 0.175, hy = 0.325, a = 0.399, w = 0.65, gamma = 0.08594, freqs = 185.9103 , 225.5879 
hx = 0.2, hy = 0.325, a = 0.399, w = 0.65, gamma = 0.0864, freqs = 187.6446 , 233.0126 
hx = 0.175, hy = 0.35, a = 0.399, w = 0.65, gamma = 0.08652, freqs = 186.4352 , 227.8892 
hx = 0.2, hy = 0.3, a = 0.4, w = 0.65, gamma = 0.0868, freqs = 186.8235 , 229.6555 
hx = 0.2, hy = 0.325, a = 0.4, w = 0.65, gamma = 0.08742, freqs = 187.3322 , 232.4994 
hx = 0.2, hy = 0.3, a = 0.401, w = 0.65, gamma = 0.08769, freqs = 186.5017 , 229.1491 
hx = 0.2, hy = 0.325, a = 0.401, w = 0.65, gamma = 0.08841, freqs = 187.0188 , 231.996 
hx = 0.2, hy = 0.3, a = 0.402, w = 0.65, gamma = 0.08853, freqs = 186.1845 , 228.6547 
hx = 0.2, hy = 0.325, a = 0.402, w = 0.65, gamma = 0.08936, freqs = 186.6986 , 231.47 
hx = 0.2, hy = 0.325, a = 0.403, w = 0.65, gamma = 0.09023, freqs = 186.3859 , 230.9441 
hx = 0.2, hy = 0.35, a = 0.403, w = 0.65, gamma = 0.09033, freqs = 186.9391 , 233.4939 
hx = 0.2, hy = 0.325, a = 0.404, w = 0.65, gamma = 0.09109, freqs = 186.0681 , 230.4314 
hx = 0.2, hy = 0.35, a = 0.404, w = 0.65, gamma = 0.0913, freqs = 186.6212 , 232.9608 
hx = 0.2, hy = 0.325, a = 0.405, w = 0.65, gamma = 0.09192, freqs = 185.7431 , 229.8931 
hx = 0.2, hy = 0.35, a = 0.405, w = 0.65, gamma = 0.09223, freqs = 186.2927 , 232.3874 
hx = 0.2, hy = 0.325, a = 0.406, w = 0.65, gamma = 0.09271, freqs = 185.4209 , 229.3766 
hx = 0.2, hy = 0.35, a = 0.406, w = 0.65, gamma = 0.09311, freqs = 185.9715 , 231.8436 
hx = 0.2, hy = 0.325, a = 0.407, w = 0.65, gamma = 0.09339, freqs = 185.1616 , 229.0232 
hx = 0.2, hy = 0.35, a = 0.407, w = 0.65, gamma = 0.09385, freqs = 185.7264 , 231.515 
hx = 0.2, hy = 0.325, a = 0.408, w = 0.65, gamma = 0.09406, freqs = 184.8422 , 228.475 
hx = 0.2, hy = 0.35, a = 0.408, w = 0.65, gamma = 0.09464, freqs = 185.4055 , 230.9593 
hx = 0.2, hy = 0.325, a = 0.409, w = 0.65, gamma = 0.09469, freqs = 184.522 , 227.9296 
hx = 0.2, hy = 0.35, a = 0.409, w = 0.65, gamma = 0.09538, freqs = 185.0834 , 230.3925 
hx = 0.2, hy = 0.375, a = 0.409, w = 0.65, gamma = 0.09541, freqs = 185.7163 , 232.8853 
hx = 0.2, hy = 0.375, a = 0.411, w = 0.65, gamma = 0.09545, freqs = 185.5627 , 232.291 
hx = 0.2, hy = 0.35, a = 0.412, w = 0.65, gamma = 0.09604, freqs = 184.5989 , 229.2491 
hx = 0.2, hy = 0.375, a = 0.412, w = 0.65, gamma = 0.09624, freqs = 185.2398 , 231.7205 
hx = 0.2, hy = 0.35, a = 0.413, w = 0.65, gamma = 0.09668, freqs = 184.28 , 228.7093 
hx = 0.2, hy = 0.375, a = 0.413, w = 0.65, gamma = 0.09699, freqs = 184.9181 , 231.1546 
hx = 0.2, hy = 0.35, a = 0.414, w = 0.65, gamma = 0.09729, freqs = 183.9622 , 228.174 
hx = 0.2, hy = 0.375, a = 0.414, w = 0.65, gamma = 0.0977, freqs = 184.5955 , 230.5867 
hx = 0.2, hy = 0.35, a = 0.415, w = 0.65, gamma = 0.09797, freqs = 183.6582 , 227.7678 
hx = 0.2, hy = 0.375, a = 0.415, w = 0.65, gamma = 0.09846, freqs = 184.289 , 230.1516 
hx = 0.225, hy = 0.325, a = 0.416, w = 0.65, gamma = 0.0985, freqs = 184.7248 , 231.7226 
hx = 0.225, hy = 0.35, a = 0.416, w = 0.65, gamma = 0.09885, freqs = 185.3211 , 234.3919 
hx = 0.2, hy = 0.375, a = 0.416, w = 0.65, gamma = 0.09907, freqs = 183.9691 , 229.577 
hx = 0.225, hy = 0.325, a = 0.417, w = 0.65, gamma = 0.09924, freqs = 184.3901 , 231.1369 
hx = 0.225, hy = 0.35, a = 0.417, w = 0.65, gamma = 0.09972, freqs = 184.9863 , 233.8113 
hx = 0.225, hy = 0.325, a = 0.418, w = 0.65, gamma = 0.09994, freqs = 184.0612 , 230.5803 
hx = 0.225, hy = 0.35, a = 0.418, w = 0.65, gamma = 0.10056, freqs = 184.6559 , 233.2502 
hx = 0.225, hy = 0.325, a = 0.419, w = 0.65, gamma = 0.10061, freqs = 183.734 , 230.0297 
hx = 0.225, hy = 0.35, a = 0.419, w = 0.65, gamma = 0.10135, freqs = 184.3267 , 232.6923 
hx = 0.225, hy = 0.375, a = 0.419, w = 0.65, gamma = 0.10137, freqs = 185.006 , 235.4091 
hx = 0.225, hy = 0.35, a = 0.42, w = 0.65, gamma = 0.10198, freqs = 184.0564 , 232.2451 
hx = 0.225, hy = 0.375, a = 0.42, w = 0.65, gamma = 0.10207, freqs = 184.7357 , 234.925 
hx = 0.225, hy = 0.35, a = 0.421, w = 0.65, gamma = 0.10262, freqs = 183.7659 , 231.7545 
hx = 0.225, hy = 0.375, a = 0.421, w = 0.65, gamma = 0.10279, freqs = 184.4465 , 234.4092 
hx = 0.225, hy = 0.35, a = 0.422, w = 0.65, gamma = 0.10323, freqs = 183.476 , 231.2719 
hx = 0.225, hy = 0.375, a = 0.422, w = 0.65, gamma = 0.10349, freqs = 184.1526 , 233.8869 
hx = 0.225, hy = 0.35, a = 0.423, w = 0.65, gamma = 0.10382, freqs = 183.1876 , 230.7928 
hx = 0.225, hy = 0.375, a = 0.423, w = 0.65, gamma = 0.10415, freqs = 183.86 , 233.3667 
hx = 0.225, hy = 0.35, a = 0.424, w = 0.65, gamma = 0.10441, freqs = 182.9367 , 230.4603 
hx = 0.225, hy = 0.375, a = 0.424, w = 0.65, gamma = 0.10479, freqs = 183.6045 , 232.9831 
hx = 0.225, hy = 0.35, a = 0.425, w = 0.65, gamma = 0.10491, freqs = 182.6483 , 229.9654 
hx = 0.225, hy = 0.375, a = 0.425, w = 0.65, gamma = 0.10537, freqs = 183.3121 , 232.4486 
hx = 0.225, hy = 0.35, a = 0.426, w = 0.65, gamma = 0.10539, freqs = 182.358 , 229.4652 
hx = 0.225, hy = 0.375, a = 0.426, w = 0.65, gamma = 0.10592, freqs = 183.0174 , 231.9089 
hx = 0.225, hy = 0.375, a = 0.427, w = 0.65, gamma = 0.10644, freqs = 182.722 , 231.3702 
hx = 0.225, hy = 0.375, a = 0.428, w = 0.65, gamma = 0.10694, freqs = 182.4268 , 230.8349 
hx = 0.225, hy = 0.375, a = 0.429, w = 0.65, gamma = 0.10737, freqs = 182.1025 , 230.1962 
hx = 0.225, hy = 0.375, a = 0.43, w = 0.65, gamma = 0.10773, freqs = 181.8245 , 229.6635 
hx = 0.225, hy = 0.4, a = 0.43, w = 0.65, gamma = 0.10775, freqs = 182.5479 , 231.8367 
hx = 0.225, hy = 0.375, a = 0.431, w = 0.65, gamma = 0.10812, freqs = 181.5564 , 229.2029 
hx = 0.225, hy = 0.4, a = 0.431, w = 0.65, gamma = 0.10821, freqs = 182.2742 , 231.3395 
hx = 0.225, hy = 0.375, a = 0.432, w = 0.65, gamma = 0.10845, freqs = 181.2768 , 228.6874 
hx = 0.225, hy = 0.4, a = 0.432, w = 0.65, gamma = 0.10869, freqs = 181.9857 , 230.8396 
hx = 0.25, hy = 0.375, a = 0.433, w = 0.65, gamma = 0.10891, freqs = 183.142 , 234.8078 
hx = 0.225, hy = 0.4, a = 0.433, w = 0.65, gamma = 0.10908, freqs = 181.7132 , 230.3328 
hx = 0.25, hy = 0.375, a = 0.434, w = 0.65, gamma = 0.10929, freqs = 183.006 , 234.6448 
hx = 0.25, hy = 0.35, a = 0.435, w = 0.65, gamma = 0.10958, freqs = 181.9957 , 231.5428 
hx = 0.25, hy = 0.375, a = 0.435, w = 0.65, gamma = 0.1099, freqs = 182.7132 , 234.1166 
hx = 0.25, hy = 0.35, a = 0.436, w = 0.65, gamma = 0.11008, freqs = 181.6628 , 230.9302 
hx = 0.25, hy = 0.375, a = 0.436, w = 0.65, gamma = 0.11045, freqs = 182.3809 , 233.4463 
hx = 0.25, hy = 0.35, a = 0.437, w = 0.65, gamma = 0.11053, freqs = 181.3635 , 230.3995 
hx = 0.25, hy = 0.375, a = 0.437, w = 0.65, gamma = 0.11102, freqs = 182.0865 , 232.9402 
hx = 0.25, hy = 0.35, a = 0.438, w = 0.65, gamma = 0.11106, freqs = 181.0395 , 229.8891 
hx = 0.25, hy = 0.375, a = 0.438, w = 0.65, gamma = 0.11156, freqs = 181.7727 , 232.3797 
hx = 0.25, hy = 0.375, a = 0.439, w = 0.65, gamma = 0.1121, freqs = 181.4382 , 231.7819 
hx = 0.25, hy = 0.375, a = 0.44, w = 0.65, gamma = 0.1126, freqs = 181.1391 , 231.2838 
hx = 0.25, hy = 0.4, a = 0.44, w = 0.65, gamma = 0.11269, freqs = 181.8974 , 233.6587 
hx = 0.25, hy = 0.375, a = 0.441, w = 0.65, gamma = 0.11307, freqs = 180.8278 , 230.7533 
hx = 0.25, hy = 0.4, a = 0.441, w = 0.65, gamma = 0.11324, freqs = 181.583 , 233.0948 
hx = 0.25, hy = 0.375, a = 0.442, w = 0.65, gamma = 0.11343, freqs = 180.4866 , 230.0897 
hx = 0.25, hy = 0.4, a = 0.442, w = 0.65, gamma = 0.11375, freqs = 181.2626 , 232.5038 
hx = 0.25, hy = 0.375, a = 0.443, w = 0.65, gamma = 0.11383, freqs = 180.192 , 229.6001 
hx = 0.25, hy = 0.4, a = 0.443, w = 0.65, gamma = 0.11416, freqs = 180.9523 , 231.8994 
hx = 0.25, hy = 0.4, a = 0.444, w = 0.65, gamma = 0.11441, freqs = 180.8278 , 231.7267 
hx = 0.25, hy = 0.4, a = 0.445, w = 0.65, gamma = 0.11484, freqs = 180.4934 , 231.1079 
hx = 0.25, hy = 0.4, a = 0.446, w = 0.65, gamma = 0.11518, freqs = 180.2043 , 230.5693 
hx = 0.25, hy = 0.4, a = 0.447, w = 0.65, gamma = 0.11545, freqs = 179.9196 , 230.0199 
hx = 0.25, hy = 0.4, a = 0.448, w = 0.65, gamma = 0.11573, freqs = 179.6073 , 229.4271 
hx = 0.25, hy = 0.4, a = 0.449, w = 0.65, gamma = 0.11609, freqs = 179.2762 , 228.8655 
hx = 0.25, hy = 0.4, a = 0.45, w = 0.65, gamma = 0.11629, freqs = 179.0221 , 228.4056 
hx = 0.25, hy = 0.425, a = 0.435, w = 0.7, gamma = 0.11662, freqs = 180.6285 , 232.7949 
hx = 0.25, hy = 0.45, a = 0.435, w = 0.7, gamma = 0.11669, freqs = 181.3883 , 235.2045 
hx = 0.25, hy = 0.425, a = 0.436, w = 0.7, gamma = 0.11703, freqs = 180.3024 , 232.1633 
hx = 0.25, hy = 0.45, a = 0.436, w = 0.7, gamma = 0.11729, freqs = 181.068 , 234.6454 
hx = 0.25, hy = 0.425, a = 0.437, w = 0.7, gamma = 0.1175, freqs = 180.0056 , 231.6841 
hx = 0.25, hy = 0.45, a = 0.437, w = 0.7, gamma = 0.1178, freqs = 180.7713 , 234.119 
hx = 0.25, hy = 0.425, a = 0.438, w = 0.7, gamma = 0.11785, freqs = 179.8316 , 231.4622 
hx = 0.25, hy = 0.45, a = 0.438, w = 0.7, gamma = 0.11816, freqs = 180.5727 , 233.7907 
